model,feature,feature_value,n_samples,error_rate,error_rate_diff_from_overall
llama3.2:3b,notes_length,very_short,4,0.5,0.22599999999999998
llama3.2:3b,notes_length,short,303,0.26732673267326734,-0.006673267326732679
llama3.2:3b,notes_length,medium,443,0.2618510158013544,-0.01214898419864563
llama3.2:3b,notes_length,long,233,0.296137339055794,0.02213733905579396
llama3.2:3b,notes_length,very_long,17,0.35294117647058826,0.07894117647058824
llama3.2:3b,notes_length_continuous,correlation,1000,0.03427958624884129,0.2788181068169244
olmo2:7b,notes_length,very_short,4,0.75,0.502
olmo2:7b,notes_length,short,303,0.30363036303630364,0.05563036303630364
olmo2:7b,notes_length,medium,443,0.23702031602708803,-0.010979683972911963
olmo2:7b,notes_length,long,233,0.1888412017167382,-0.05915879828326179
olmo2:7b,notes_length,very_long,17,0.23529411764705882,-0.012705882352941178
olmo2:7b,notes_length_continuous,correlation,1000,-0.10038236471195985,0.0014807489814421884
mistral:7b,notes_length,very_short,4,0.0,-0.199
mistral:7b,notes_length,short,303,0.18151815181518152,-0.017481848184818488
mistral:7b,notes_length,medium,443,0.22799097065462753,0.028990970654627524
mistral:7b,notes_length,long,233,0.18025751072961374,-0.01874248927038627
mistral:7b,notes_length,very_long,17,0.058823529411764705,-0.1401764705882353
mistral:7b,notes_length_continuous,correlation,1000,0.001809086343782463,0.9544361994460359
gemma3:4b,notes_length,very_short,4,0.0,-0.207
gemma3:4b,notes_length,short,303,0.20132013201320131,-0.005679867986798676
gemma3:4b,notes_length,medium,443,0.2234762979683973,0.016476297968397308
gemma3:4b,notes_length,long,233,0.18454935622317598,-0.022450643776824014
gemma3:4b,notes_length,very_long,17,0.23529411764705882,0.02829411764705883
gemma3:4b,notes_length_continuous,correlation,1000,-0.0034628149916920534,0.9129112528570671
